"N","Author","Year","Phase1.m.ori","Phase1.m","Experimental.setting","rr","var","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder"
"47","Gundale et al. 2014","2014","Field","Field","Greenhouse","0.372613726","0.011933309","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"48","Mo 2014","2014","Field","Field","Greenhouse","-0.710096739","0.006840208","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"49","Mo 2014","2014","Field","Field","Greenhouse","-0.465720967","0.012748132","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"50","Mo 2014","2014","Field","Field","Greenhouse","0.174214969","0.01353014","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"51","Mo 2014","2014","Field","Field","Greenhouse","0.547336833","0.023535019","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"52","Porazinska,2014","2014","Field","Field","Greenhouse","-0.23210847","0.016982124","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"53","Porazinska,2014","2014","Field","Field","Greenhouse","-0.145332444","0.003111121","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"54","Lalibert_x0001_e et al. 2015","2015","Field","Field","Greenhouse","-0.12089793","0.053140993","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"55","Lalibert_x0001_e et al. 2015","2015","Field","Field","Greenhouse","-1.380337127","0.03589812","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"56","Kuebbing et al. 2016","2016","Field","Field","Greenhouse","0","0.037777778","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"57","Kuebbing et al. 2016","2016","Field","Field","Greenhouse","-0.405465108","0.08","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"58","Rigg et al. 2016","2016","Field","Field","Greenhouse","-0.09698038","0.010515001","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"59","Rigg et al. 2016","2016","Field","Field","Greenhouse","-0.242643117","0.020102767","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"60","Rigg et al. 2016","2016","Field","Field","Greenhouse","0.025293732","0.015706927","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"61","Rigg et al. 2016","2016","Field","Field","Greenhouse","0.030801678","0.01313589","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"62","Rigg et al. 2016","2016","Field","Field","Greenhouse","0.109749823","0.005615883","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"63","Rigg et al. 2016","2016","Field","Field","Greenhouse","-0.010105699","0.008075505","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"64","Rigg et al. 2016","2016","Field","Field","Greenhouse","-0.122295319","0.009919803","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"65","Rigg et al. 2016","2016","Field","Field","Greenhouse","-0.093634395","0.004502162","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"66","Rigg et al. 2016","2016","Field","Field","Greenhouse","-0.064227379","0.004078966","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"67","Rigg et al. 2016","2016","Field","Field","Greenhouse","0.00159878","0.002910821","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"68","Rigg et al. 2016","2016","Field","Field","Greenhouse","0.132457855","0.009490739","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
