"omitted_study","estimate","se","ci_low","ci_high","statistic","df","p_value","tau2"
"Li et al. 2022||2022","-0.00482293112333367","0.09310925878345105","-0.1893624550255947","0.17971659277892735","-0.051798620098035646","109","0.958783963717908","0.20506493076739368"
"Liang et al. 2015||2015","-0.004446213487385047","0.0931348001544819","-0.18903635955667253","0.18014393258190242","-0.04773955041520624","109","0.9620111750085097","0.2052718546207743"
"Liang et al. 2016||2016","-0.030487038988045227","0.08836083448808903","-0.20561534030942383","0.14464126233333338","-0.3450288712716363","109","0.7307375613308527","0.1460825278364316"
"Liang et al. 2020||2020","0.010956466169969531","0.09478379062301398","-0.17690192539883384","0.19881485773877292","0.1155943025484913","109","0.9081867673062469","0.20456855974650112"
"Lozano.2019||2019","-0.002763734171448875","0.09314685224515197","-0.18737776709262777","0.18185029874973002","-0.029670719995722877","109","0.9763839222635257","0.20545127412045655"
"Lu et al. 2021||2021","-0.002494093033887983","0.09314318997821913","-0.18710086746106724","0.1821126813932913","-0.026776976765249382","109","0.9786865793331536","0.20542590940807984"
"Lucero et al. 2020||2020","-0.002094997649978075","0.09314167289412785","-0.18669876526580922","0.18250876996585305","-0.02249259203621363","109","0.982096145520782","0.20540099654631833"
"Ma,2019||2019","0.003793521443421877","0.09287353544945587","-0.1802788064742884","0.18786584936113215","0.040846097061594124","109","0.9674933140552991","0.20212183687899396"
"Mangan et al. 2010||2010","-0.006112072865771208","0.09584583762470546","-0.1960754070644992","0.1838512613329568","-0.06376983098320532","109","0.9492703007578953","0.20539992126562828"
"Markham,2009||2009","-0.0017946500283821075","0.09312838122427917","-0.18637207398668887","0.18278277392992465","-0.019270710011162855","109","0.9846603808385881","0.20530176474540668"
"McGinn et al. 2018||2018","-0.006301673816611499","0.09308244363442697","-0.19078805096527435","0.17818470333205133","-0.06769991816459786","109","0.9461485444922992","0.20458046354782267"
"Meiman et al. 2006||2006","-0.002655382652977973","0.09296586351471045","-0.18691070179441308","0.18159993648845715","-0.028562985945457264","109","0.9772653641542859","0.20436541559776308"
"Mo 2014||2014","5.733860171383783e-05","0.09309280505997179","-0.18444957455552619","0.18456425175895386","0.00061592946605164","109","0.9995096852697479","0.20480834227748332"
"Morris et al. 2006||2006","-0.004968966699399698","0.09311822488087795","-0.18952626111527066","0.17958832771647126","-0.053361913908434984","109","0.957541228209813","0.20509398352943442"
"Nagendra et al. 2016||2016","-0.005501569216744602","0.09310568592666792","-0.19003401183301596","0.17903087339952675","-0.05908950846544172","109","0.9529890118452141","0.2049162233839429"
"Nijjer et al. 2007||2007","-0.00420856057498113","0.09313656174535828","-0.18880219806011578","0.18038507691015354","-0.0451869866797061","109","0.9640409475920675","0.20531119249702307"
"Niu et al 2007||2007","-0.0033803036765907963","0.0931466412153281","-0.18799391834351942","0.18123331099033785","-0.03629012954719979","109","0.9711173980940204","0.20543661089537998"
"Nuske et al. 2021||2021","-0.008019547676358952","0.09299441312351818","-0.19233145121429568","0.17629235586157777","-0.08623687603369387","109","0.9314363303513484","0.20345981818225"
"Orozco-Aceves,2017||2017","-0.0055931139617611475","0.09302480197908237","-0.1899652472234764","0.1787790192999541","-0.060124975735168125","109","0.9521661977009203","0.20441305816450592"
"Packer and Clay 2004||2004","-0.003909070624611513","0.09313939432929899","-0.1885083221990286","0.18069018094980557","-0.04197010999224236","109","0.96659930991261","0.2053580106936724"
"Peacher et al. 2020||2020","-0.002248843056341532","0.09314357955458537","-0.18685638961121345","0.18235870349853037","-0.024143833285080397","109","0.9807820246522125","0.20541994813373343"
"Peltzer 2001||2001","-0.0011326934324619952","0.09484737143822397","-0.1891171001099825","0.1868517132450585","-0.011942275418773641","109","0.9904935000020522","0.2048030441358707"
"Petermann et al. 2008||2008","0.0013660687148465956","0.09304305378135999","-0.183042239025612","0.1857743764553052","0.01468211391746334","109","0.9883126289930217","0.20415118267124896"
"Pfennigwerth et al. 2018||2018","-0.003864614585223593","0.09314151468839192","-0.18846806864242943","0.18073883947198227","-0.04149185890043544","109","0.9669796904874407","0.20537445705524104"
"Pizano et al. 2014||2014","-0.0021466390884379003","0.09314406496841104","-0.18675514771773138","0.18246186954085558","-0.02304643982593967","109","0.9816553666218119","0.2054179693153804"
"Png et al. 2018||2018","-0.004124133702026431","0.09313856507279486","-0.1887217417170117","0.18047347431295882","-0.044279549494917685","109","0.9647625899812189","0.20533227465162834"
"Porazinska,2014||2014","-0.0016425826136454603","0.09313467505153326","-0.18623248073295587","0.18294731550566493","-0.01763663869269514","109","0.9859609705691035","0.20532617398198713"
"Puerta-Pinero et al. 2006||2006","-0.002868522899114942","0.09313032162242608","-0.187449792663466","0.18171274686523614","-0.03080117032930113","109","0.9754844348076975","0.2053528439316616"
"Reinhart and Callaway 2004||2004","7.440765866332158e-05","0.09307833562845844","-0.18440382755572227","0.1845526428730489","0.0007994089941652507","109","0.9993636252041525","0.2047186043486526"
"Reinhart et al. 2003||2003","-0.003401383820130903","0.09314328726762748","-0.18800835107175462","0.1812055834314928","-0.03651775581376839","109","0.9709363158159219","0.20541568872357602"
"Reinhart et al. 2005a Ecography||2005","0.011989709195042973","0.09436253547512803","-0.1750337683657663","0.19901318675585225","0.1270600576242804","109","0.8991269652992357","0.20427648794457526"
"Reinhart et al. 2012||2012","-0.003926903492867261","0.09313671609873951","-0.18852084690138543","0.18066703991565092","-0.04216278667914518","109","0.9664460652442671","0.20534049875340046"
"Rigg et al. 2016||2016","-0.0034763447008874632","0.0931460967294019","-0.18808888021441172","0.18113619081263682","-0.037321421111037735","109","0.9702969925731275","0.20542857776682766"
"Rodríguez-Echeverría,2013,PE||2013","-0.00878597729853411","0.09293464769545322","-0.1929794277010359","0.17540747310396768","-0.09453930817412416","109","0.9248543319852244","0.20276157201988065"
"Rutten et al. 2016||2016","-0.0014992830374283188","0.093132780433493","-0.18608542608537745","0.1830868600105208","-0.016098338634901715","109","0.9871853686849122","0.20530102150371637"
"Rutten et al. 2018||2018","-0.0030403189821088367","0.09311772711243577","-0.18759662683710993","0.18151598887289228","-0.03265027053804458","109","0.9740131938557749","0.20527570191212835"
"Schittko et al. 2014||2014","-0.0032227653501670076","0.09314526936628241","-0.18783366105688623","0.18138813035655224","-0.034599345432067795","109","0.9724625049439748","0.20543475448323867"
"Schittko et al. 2016||2016","-0.0008241540372618794","0.09618462297321743","-0.19145894978273964","0.18981064170821588","-0.008568459404278838","109","0.9931791049431415","0.20702461955417023"
"Segnitz et al. 2020||2020","-0.0038026154637525148","0.09314376040770733","-0.18841052046363257","0.18080528953612754","-0.04082523023665535","109","0.9675099112594622","0.20539289746239478"
"Shannon et al. 2012||2012","-0.0020125345802727754","0.09309750303218442","-0.18652875896570592","0.18250368980516035","-0.021617492572029873","109","0.9827926033045395","0.20513327354769528"
"Singh et al. 2020||2020","0.0022597527776944655","0.09298578380385794","-0.18203504772921714","0.18655455328460607","0.024302131844811198","109","0.9806560473308188","0.2034876026878505"
"Stotz, 2018||2018","0.0012345679405972533","0.09300746443817015","-0.183103202878678","0.18557233875987253","0.013273858695696129","109","0.9894335693491468","0.2039823357387972"
"Suding et al. 2004||2004","-0.005156671842848284","0.095708970799054","-0.19484874044271164","0.18453539675701505","-0.053878667796720826","109","0.9571304591837985","0.20532645061230864"
"Suguenza et al. 2006||2006","-0.002594131979142386","0.09314580410994279","-0.18720608753041182","0.18201782357212706","-0.027850229046071193","109","0.9778325312906452","0.2054434508426285"
"Teste et al. 2017||2017","-0.0023148141440034733","0.0931449545159035","-0.18692508582750758","0.18229545753950063","-0.024851739485344252","109","0.9802186618344959","0.20543080976200628"
"Troelstra et al. 2001||2001","-0.002178051686506874","0.09314330206311419","-0.18678504826230424","0.1824289448892905","-0.023383878800335205","109","0.9813868191154459","0.20541502361132397"
"Uddin et al. 2021||2021","-0.014376476169356804","0.09238087022747458","-0.19747235763377635","0.16871940529506274","-0.1556217876488585","109","0.8766189861055911","0.19554061793630204"
"Van der Putten et al. 2007||2007","-0.008396824380461165","0.09285858451773019","-0.19243952003754985","0.17564587127662754","-0.09042593556719461","109","0.9281147065683125","0.20248423733620532"
